,Date,Open,High,Low,CloseClose price adjusted for splits.,Adj CloseAdjusted close price adjusted for splits and dividend and/or capital gain distributions.,Volume
1110,"Dec 7, 2020",279.19,288.49,278.20,285.58,284.24,"13,007,700"
1111,"Dec 4, 2020",280.30,283.46,279.30,279.70,278.39,"10,880,300"
1112,"Dec 3, 2020",286.25,286.65,281.07,281.85,280.53,"12,921,700"
1113,"Dec 2, 2020",285.36,291.78,280.83,287.52,286.17,"17,361,600"
1114,"Dec 1, 2020",279.16,289.30,278.96,286.55,285.21,"20,738,900"
1115,"Nov 30, 2020",276.03,277.70,271.01,276.97,275.67,"16,693,300"
1116,"Nov 27, 2020",277.39,279.13,274.82,277.81,276.51,"7,808,400"
1117,"Nov 25, 2020",278.14,280.18,272.65,275.59,274.30,"12,467,000"
1118,"Nov 24, 2020",268.49,277.82,267.87,276.92,275.62,"16,930,400"
1119,"Nov 23, 2020",270.89,270.95,264.53,268.43,267.17,"20,990,800"
1120,"Nov 20, 2020",272.56,273.00,269.41,269.70,268.43,"18,114,700"
1121,"Nov 19, 2020",271.02,273.47,269.19,272.94,271.66,"12,963,700"
1122,"Nov 18, 2020",274.52,277.39,271.84,271.97,270.69,"12,152,900"
1123,"Nov 17, 2020",277.68,277.68,273.29,275.00,273.71,"15,040,300"
1124,"Nov 16, 2020",275.05,279.41,274.63,278.96,277.65,"12,970,400"
1125,"Nov 13, 2020",277.72,277.76,273.10,276.95,275.65,"10,391,200"
1126,"Nov 12, 2020",277.18,279.75,274.43,275.08,273.79,"12,899,500"
1127,"Nov 11, 2020",273.47,278.40,272.48,276.48,275.18,"14,957,000"
1128,"Nov 10, 2020",273.10,274.00,264.00,272.43,271.15,"29,067,700"
1129,"Nov 9, 2020",289.87,292.58,278.53,278.77,277.46,"25,117,700"
1130,"Nov 6, 2020",293.95,294.60,288.06,293.41,292.03,"13,891,000"
1131,"Nov 5, 2020",291.90,297.38,288.95,294.68,293.30,"23,823,600"
1132,"Nov 4, 2020",281.00,288.94,278.62,287.38,286.03,"35,364,400"
1133,"Nov 3, 2020",263.16,270.05,260.88,265.30,264.06,"17,961,900"
1134,"Nov 2, 2020",264.60,270.47,257.34,261.36,260.13,"27,165,700"
1135,"Oct 30, 2020",274.50,276.70,259.10,263.11,261.88,"47,247,800"
1136,"Oct 29, 2020",276.55,283.60,273.78,280.83,279.51,"32,368,100"
1137,"Oct 28, 2020",278.79,278.79,267.26,267.67,266.41,"23,121,800"
1138,"Oct 27, 2020",278.76,284.51,276.31,283.29,281.96,"16,287,200"
1139,"Oct 26, 2020",283.16,285.23,274.26,277.11,275.81,"21,322,900"
1140,"Oct 23, 2020",278.80,285.24,276.82,284.79,283.45,"17,535,200"
1141,"Oct 22, 2020",279.87,282.45,275.04,278.12,276.82,"16,720,000"
1142,"Oct 21, 2020",279.56,283.05,276.37,278.73,277.42,"28,998,600"
1143,"Oct 20, 2020",263.06,269.70,262.88,267.56,266.30,"18,763,200"
1144,"Oct 19, 2020",265.53,268.55,259.88,261.40,260.17,"13,587,000"
1145,"Oct 16, 2020",267.38,271.37,265.30,265.93,264.68,"16,622,700"
1146,"Oct 15, 2020",267.60,269.04,263.67,266.72,265.47,"15,416,100"
1147,"Oct 14, 2020",277.62,278.75,271.50,271.82,270.54,"15,577,800"
1148,"Oct 13, 2020",277.58,279.10,273.39,276.14,274.84,"18,063,300"
1149,"Oct 12, 2020",270.20,280.18,267.87,275.75,274.46,"31,019,300"
1150,"Oct 9, 2020",264.52,264.75,262.17,264.45,263.21,"14,107,800"
1151,"Oct 8, 2020",259.75,264.62,259.15,263.76,262.52,"16,312,800"
1152,"Oct 7, 2020",259.21,260.18,254.82,258.12,256.91,"23,133,400"
1153,"Oct 6, 2020",261.78,265.69,258.24,258.66,257.45,"18,696,900"
1154,"Oct 5, 2020",262.20,264.87,260.84,264.65,263.41,"12,822,300"
1155,"Oct 2, 2020",261.21,265.15,259.18,259.94,258.72,"16,367,600"
1156,"Oct 1, 2020",265.35,268.33,264.80,266.63,265.38,"20,009,800"
1157,"Sep 30, 2020",261.98,266.08,260.10,261.90,260.67,"20,142,500"
1158,"Sep 29, 2020",257.81,263.33,256.90,261.79,260.56,"20,200,200"
1159,"Sep 28, 2020",259.40,259.60,254.82,256.82,255.62,"18,826,300"
1160,"Sep 25, 2020",249.40,255.75,246.61,254.82,253.62,"18,351,300"
1161,"Sep 24, 2020",246.50,252.24,245.62,249.53,248.36,"20,006,800"
1162,"Sep 23, 2020",255.26,257.99,248.15,249.02,247.85,"19,641,300"
1163,"Sep 22, 2020",253.31,255.32,248.22,254.75,253.56,"30,293,100"
1164,"Sep 21, 2020",247.54,249.95,244.13,248.15,246.99,"24,709,400"
1165,"Sep 18, 2020",258.40,259.20,250.05,252.53,251.35,"28,130,800"
1166,"Sep 17, 2020",258.28,261.50,250.19,254.82,253.62,"31,281,400"
1167,"Sep 16, 2020",267.29,272.44,261.79,263.52,262.28,"29,183,400"
1168,"Sep 15, 2020",270.67,274.52,269.30,272.42,271.14,"18,478,500"
1169,"Sep 14, 2020",270.95,276.64,265.70,266.15,264.90,"24,093,800"
1170,"Sep 11, 2020",270.06,271.39,262.64,266.61,265.36,"18,913,900"
1171,"Sep 10, 2020",275.51,279.16,267.03,268.09,266.83,"24,814,700"
1172,"Sep 9, 2020",275.77,278.48,271.35,273.72,272.44,"22,918,800"
1173,"Sep 8, 2020",271.28,279.30,269.42,271.16,269.89,"24,864,000"
1174,"Sep 4, 2020",287.25,289.00,271.14,282.73,281.40,"30,333,700"
1175,"Sep 3, 2020",295.99,297.60,283.63,291.12,289.75,"32,294,100"
